id,playerId,achievementId,unlockedAt
69,64,21,2025-02-05T00:52:01.167Z
72,57,19,2025-02-05T00:52:01.160Z
68,64,20,2025-02-05T00:52:01.167Z
70,64,19,2025-02-05T00:52:01.167Z
71,64,23,2025-02-05T00:52:01.167Z
73,64,24,2025-02-05T00:52:01.167Z
74,62,21,2025-02-05T00:52:01.168Z
75,62,19,2025-02-05T00:52:01.168Z
76,62,24,2025-02-05T00:52:01.168Z
77,60,19,2025-02-05T00:52:01.169Z
78,60,23,2025-02-05T00:52:01.169Z
79,60,21,2025-02-05T00:52:01.169Z
80,55,19,2025-02-05T00:52:01.169Z
81,55,20,2025-02-05T00:52:01.169Z
82,55,21,2025-02-05T00:52:01.169Z
83,55,22,2025-02-05T00:52:01.169Z
84,54,19,2025-02-05T00:52:01.170Z
85,55,23,2025-02-05T00:52:01.169Z
86,54,20,2025-02-05T00:52:01.170Z
89,54,21,2025-02-05T00:52:01.170Z
91,54,22,2025-02-05T00:52:01.170Z
93,54,23,2025-02-05T00:52:01.170Z
90,57,23,2025-02-05T00:52:01.160Z
87,57,22,2025-02-05T00:52:01.160Z
88,57,21,2025-02-05T00:52:01.160Z
92,57,20,2025-02-05T00:52:01.160Z
94,58,22,2025-02-05T00:52:01.597Z
95,58,23,2025-02-05T00:52:01.597Z
96,58,21,2025-02-05T00:52:01.597Z
97,58,19,2025-02-05T00:52:01.597Z
98,56,20,2025-02-05T00:52:01.620Z
99,56,19,2025-02-05T00:52:01.620Z
100,56,21,2025-02-05T00:52:01.620Z
101,56,22,2025-02-05T00:52:01.620Z
102,56,23,2025-02-05T00:52:01.620Z
103,59,19,2025-02-05T00:52:01.662Z
104,59,21,2025-02-05T00:52:01.662Z
105,59,22,2025-02-05T00:52:01.662Z
106,59,23,2025-02-05T00:52:01.662Z
107,61,19,2025-02-05T00:52:01.684Z
111,60,22,2025-02-11T13:11:50.309Z
108,59,20,2025-02-11T13:11:50.305Z
110,67,19,2025-02-11T13:11:50.308Z
109,67,23,2025-02-11T13:11:50.308Z
112,60,20,2025-02-11T13:11:50.309Z
113,62,22,2025-02-25T01:41:30.856Z
114,62,23,2025-02-25T01:41:30.857Z
115,64,22,2025-02-25T13:03:07.494Z
116,58,20,2025-02-27T12:50:34.242Z
117,67,21,2025-03-04T12:52:53.099Z
118,68,22,2025-03-11T11:59:14.497Z
119,68,19,2025-03-11T11:59:14.497Z
120,69,19,2025-03-11T11:59:14.519Z
121,67,20,2025-03-27T12:08:43.057Z
122,67,22,2025-03-27T12:08:43.057Z
125,70,19,2025-03-31T12:01:55.880Z
124,70,23,2025-03-31T12:01:55.880Z
123,70,21,2025-03-31T12:01:55.880Z
126,61,23,2025-04-01T11:49:10.672Z
127,61,22,2025-04-01T11:49:10.672Z
128,71,19,2025-04-03T11:57:11.886Z
129,71,21,2025-04-03T11:57:11.886Z
130,71,23,2025-04-03T11:57:11.886Z
131,69,22,2025-04-03T11:57:11.929Z
132,69,21,2025-04-03T11:57:11.929Z
133,68,20,2025-04-18T00:10:05.990Z
134,68,21,2025-04-24T12:44:56.279Z
135,72,19,2025-05-01T17:05:05.857Z
136,72,23,2025-05-01T17:05:05.857Z
